,T_HMP,WDIR,WS_MAX,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,height,RH,oxypercent
216,2.149,34.75,2.888,0.4,0.25,225.82,316.561,648.183,3810,60.98,51.65950271729012
217,0.852,127.5,1.666,0.167,37.51148359824146,266.812,321.394,648.023,3810,91.6,51.65950271729012
218,-0.446,131.7,2.666,1.333,0.117,275.615,315.767,646.128,3810,91.592,51.65950271729011
219,-0.937,125.4,2.277,-0.117,37.51148359824146,296.291,321.842,644.597,3810,94.549,51.65950271729011
220,-0.724,107.8,1.944,0.583,37.51148359824146,283.455,319.761,644.839,3810,91.535,51.65950271729012
221,-2.288,141.4,2.166,0.333,37.51148359824146,300.887,315.958,643.67,3810,100.0,51.65950271729012
222,-3.03,122.8,1.722,0.367,37.51148359824146,266.985,312.692,643.535,3810,100.0,51.65950271729012
223,0.731,38.45,2.443,0.9,0.333,211.26,304.524,648.089,3810,32.9,51.65950271729012
224,-1.308,194.46961593975524,1.499,-0.15,0.033,211.639,299.192,650.069,3810,56.113,51.65950271729011
225,-1.923,114.0,0.611,0.4,0.267,209.699,295.916,648.416,3810,46.517,51.65950271729011
226,-2.491,17.38,1.166,-0.033,37.51148359824146,207.358,293.762,646.47,3810,60.902,51.65950271729011
227,-2.656,13.26,1.722,0.1,37.51148359824146,204.843,293.364,645.8,3810,59.461,51.65950271729012
228,-1.91,26.49,1.722,0.183,37.51148359824146,210.954,296.704,644.304,3810,63.99,51.65950271729011
229,-2.573,135.6,1.222,0.483,37.51148359824146,286.754,312.889,641.739,3810,99.346,51.65950271729011
230,-3.78,90.7,2.555,1.4,37.51148359824146,253.627,301.182,641.249,3810,100.0,51.65950271729011
231,-1.888,19.4,2.221,1.517,0.267,254.695,303.828,643.877,3810,71.839,51.65950271729011
232,-4.987,132.2,4.609,0.25,0.2,294.336,294.055,645.104,3810,100.0,51.65950271729012
233,-3.724,57.28,2.721,3.633,3.15,274.533,294.451,643.913,3810,100.0,51.65950271729012
234,-4.507,95.0,1.722,6.267,4.9,277.407,290.778,643.879,3810,100.0,51.65950271729011
235,-5.056,126.9,1.944,1.15,0.983,288.08,295.13,643.351,3810,100.0,51.6595027172901
236,-5.02,97.2,1.111,1.667,2.117,218.761,272.524,642.682,3810,100.0,51.65950271729011
