TIMESTAMP,T_HMP,T_HMP_2,RH,RH_2,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS
2022-05-12 17:00:00,-21.02,-20.83,49.235,48.819,24.18,17.22,150.3,20.68,14.34,284.7,-5.102,0.787,112.961,213.346,339.64
2022-05-12 18:00:00,-21.78,-21.59,66.476,66.02,21.58,16.48,150.5,18.12,13.74,284.4,-4.827,0.857,117.106,212.327,339.33
2022-05-12 19:00:00,-22.46,-22.28,89.909,89.409,20.21,15.35,144.5,18.12,13.06,290.3,-4.741,0.935,120.061,211.874,339.0
2022-05-12 20:00:00,-22.19,-22.01,39.086,38.855,18.7,14.35,144.8,17.25,12.22,290.2,-5.338,0.856,109.815,208.383,338.77
2022-05-12 21:00:00,-20.71,-20.53,6.29,6.183,20.62,16.97,143.3,19.11,14.68,291.4,-5.296,0.979,103.046,207.552,338.6
2022-05-12 22:00:00,-20.78,-20.59,3.34,3.169,18.97,16.08,149.8,17.65,13.54,285.5,-5.664,0.709,104.169,207.966,338.48
2022-05-12 23:00:00,-21.69,-21.5,10.021,9.769,18.01,14.78,152.5,15.74,12.49,282.3,-4.675,0.856,118.949,208.323,338.48
2022-05-13 00:00:00,-21.48,-21.3,19.599,19.26,19.66,16.01,156.6,16.38,13.15,278.3,2.06,6.374,120.444,208.816,338.65
2022-05-13 01:00:00,-21.74,-21.52,61.015,60.4,19.93,15.17,155.2,15.68,12.39,279.5,67.132,23.903,119.234,208.459,338.94
2022-05-13 02:00:00,-21.14,-20.87,67.667,66.728,18.84,14.98,153.4,16.14,12.44,281.1,374.19,52.599,125.951,208.44,339.02
2022-05-13 03:00:00,-20.79,-20.46,43.225,42.262,20.48,16.93,155.5,17.31,13.9,279.6,628.991,177.0,119.731,217.694,339.12
2022-05-13 04:00:00,-20.52,-20.17,9.142,8.869,22.67,17.67,155.5,19.05,14.97,280.0,872.076,336.906,112.919,222.4,338.86
2022-05-13 05:00:00,-19.76,-19.4,3.26,3.044,21.99,18.71,154.8,19.28,15.74,280.8,1033.707,456.289,121.587,230.554,338.95
2022-05-13 06:00:00,-19.62,-19.27,3.58,3.349,23.22,19.99,152.2,20.74,16.94,282.4,1129.879,544.563,129.521,235.72,338.79
2022-05-13 07:00:00,-19.24,-18.92,4.018,3.769,26.37,21.36,153.5,21.14,18.02,281.7,1167.543,592.344,118.312,236.971,338.68
2022-05-13 08:00:00,-19.73,-19.4,4.34,4.071,25.41,21.97,152.3,22.25,18.43,282.5,1060.693,588.682,113.856,235.148,338.26
2022-05-13 09:00:00,-19.92,-19.57,5.55,5.257,27.74,20.0,150.7,22.65,16.77,284.7,761.431,554.068,111.612,236.029,338.41
2022-05-13 10:00:00,-20.9,-20.56,7.578,7.228,28.56,17.67,150.5,22.07,14.91,284.3,651.096,507.157,106.716,234.829,338.19
2022-05-13 11:00:00,-20.52,-20.21,8.239,7.895,25.96,21.02,157.7,21.67,17.17,277.5,612.211,420.977,103.111,226.195,338.12
2022-05-13 12:00:00,-21.24,-20.97,86.528,85.531,28.15,21.79,158.4,22.07,17.73,277.1,261.219,312.354,119.17,227.761,338.28
2022-05-13 13:00:00,-21.18,-20.85,21.552,19.435,23.36,20.01,151.7,20.5,17.08,282.9,102.872,134.271,101.674,214.909,338.42
2022-05-13 14:00:00,-22.36,-22.17,5.508,5.196,25.41,19.73,148.5,23.12,17.0,286.4,-4.988,1.066,98.69,204.506,338.48
2022-05-13 15:00:00,-20.59,-20.4,4.71,4.538,27.06,20.83,141.3,24.75,18.16,293.9,-5.085,0.816,100.288,210.916,339.14
2022-05-13 16:00:00,-19.3,-19.11,2.314,2.163,21.71,18.04,149.1,19.05,15.26,286.5,-5.66,0.922,101.935,212.606,339.42
2022-05-13 17:00:00,-20.94,-20.73,3.738,3.523,20.48,16.49,149.1,18.82,13.98,286.7,-5.868,0.488,103.252,210.002,338.97
2022-05-13 18:00:00,-22.62,-22.43,60.26,59.763,21.71,16.88,145.5,20.68,14.56,289.8,-5.243,0.871,101.899,207.973,338.7
2022-05-13 19:00:00,-21.75,-21.57,32.242,31.989,22.95,15.88,145.2,20.91,13.56,289.8,-5.46,0.967,100.641,207.244,338.58
2022-05-13 20:00:00,-20.54,-20.35,9.462,9.257,20.75,15.28,147.1,19.22,12.99,288.0,-5.809,0.866,101.41,207.915,338.48
2022-05-13 21:00:00,-20.57,-20.36,11.86,11.622,22.81,13.82,156.3,17.83,10.83,277.9,-5.912,1.068,102.349,207.151,338.32
2022-05-13 22:00:00,-19.78,-19.54,3.354,3.168,18.01,6.008,159.6,15.1,3.793,269.4,-7.205,1.169,103.197,205.033,338.5
2022-05-13 23:00:00,-20.24,-20.01,2.813,2.629,18.97,7.496,150.6,16.03,5.004,277.9,-6.723,1.295,102.058,203.953,338.49
2022-05-14 00:00:00,-19.29,-19.08,2.0,1.832,20.07,12.58,157.4,17.36,9.33,276.0,-0.173,6.403,104.291,208.188,338.98
2022-05-14 01:00:00,-18.96,-18.73,2.016,1.854,24.04,13.72,146.6,20.21,11.24,287.5,70.455,24.607,106.384,210.199,339.17
2022-05-14 02:00:00,-19.75,-19.49,3.768,3.572,19.38,15.21,141.3,17.89,13.13,293.7,388.548,54.54,107.427,207.391,339.3
2022-05-14 03:00:00,-19.85,-19.54,8.321,8.011,18.84,14.85,141.8,17.89,12.59,292.9,641.601,189.561,112.518,215.994,339.66
2022-05-14 04:00:00,-19.39,-19.03,10.434,10.039,20.75,14.99,150.7,17.25,12.53,284.7,855.348,336.129,118.068,224.002,340.02
2022-05-14 05:00:00,-19.04,-18.63,9.573,9.134,19.38,12.84,152.7,15.79,10.47,282.2,1051.926,458.22,118.481,236.343,340.24
2022-05-14 06:00:00,-18.74,-18.36,10.699,10.279,18.97,13.99,145.3,17.65,11.93,289.8,1131.04,534.54,120.008,241.69,340.21
2022-05-14 07:00:00,-18.44,-18.1,14.036,13.562,19.38,14.29,144.6,17.83,12.13,290.3,1167.7,585.011,119.232,248.174,340.18
2022-05-14 08:00:00,-18.29,-17.93,19.734,19.127,20.75,15.13,149.1,17.95,12.66,286.2,1076.428,586.013,119.656,248.095,340.04
2022-05-14 09:00:00,-18.82,-18.5,28.543,27.813,23.22,16.37,151.8,19.86,13.54,284.0,782.213,555.737,116.676,245.701,339.74
2022-05-14 10:00:00,-18.74,-18.45,27.474,26.842,22.81,16.63,156.5,20.27,13.41,279.0,653.19,517.172,112.098,242.037,339.76
2022-05-14 11:00:00,-18.47,-18.31,32.133,31.799,21.71,14.31,163.8,17.71,10.56,270.7,618.386,428.803,109.647,241.152,339.81
2022-05-14 12:00:00,-17.84,-17.93,36.595,37.172,21.44,9.63,171.7,16.08,6.507,260.9,361.918,299.467,111.37,238.719,340.19
2022-05-14 13:00:00,-17.73,-17.82,32.412,32.961,11.71,4.413,162.5,8.12,2.816,265.1,101.784,129.753,111.238,230.776,340.48
2022-05-14 14:00:00,-19.68,-19.54,25.532,25.357,13.63,5.253,158.2,11.2,3.322,270.3,-7.871,1.557,106.135,210.256,340.87
2022-05-14 15:00:00,-20.32,-20.15,17.061,16.856,15.55,7.32,163.7,13.24,4.716,265.4,-7.001,1.813,103.702,212.363,341.21
2022-05-14 16:00:00,-20.21,-20.0,9.554,9.327,17.47,9.49,164.0,13.47,6.489,268.3,-6.656,1.418,103.555,211.102,341.42
2022-05-14 17:00:00,-20.24,-20.02,6.822,6.6,18.42,10.47,160.2,14.86,7.484,272.5,-6.467,1.218,104.309,210.385,341.31
2022-05-14 18:00:00,-20.6,-20.4,7.063,6.851,16.09,6.889,148.0,12.25,4.84,281.7,-6.61,1.355,108.344,208.14,341.15
2022-05-14 19:00:00,-20.15,-19.96,4.582,4.41,18.84,11.36,149.2,16.61,9.08,283.7,-6.021,1.253,107.642,209.004,340.88
2022-05-14 20:00:00,-20.06,-19.87,4.241,4.079,18.01,14.09,143.8,16.61,12.07,290.1,-5.654,0.808,110.561,210.326,340.71
2022-05-14 21:00:00,-20.44,-20.24,5.036,4.861,18.29,13.8,145.3,16.78,11.66,288.5,-5.537,0.782,112.336,209.744,340.49
2022-05-14 22:00:00,-20.81,-20.61,5.031,4.829,18.42,9.55,151.2,16.96,7.345,280.4,-6.129,0.925,109.939,207.92,340.47
2022-05-14 23:00:00,-21.79,-21.6,11.786,11.51,13.49,4.416,138.0,11.61,3.162,287.5,-6.682,1.546,103.191,202.292,340.46
